date_lima,events,registered,available,reservation_unconfirmed,unknown,defense_signals,slot_lost,captcha_invalid
2026-09-01,40,17,2,0,0,1,17,0
2026-09-02,2,0,1,0,0,1,0,0
2026-09-03,67,25,0,0,0,1,17,0
2026-09-04,14,3,1,0,1,0,3,0
2026-09-05,232,6,223,0,1,0,0,0
2026-09-07,11,5,4,0,0,0,1,0
