run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-121323-0a4c4a71,2026-07-11 12:14:02,order-***,partial,normal,LIMA-LA VICTORIA,31/07/2026,09:00,20,blocked_by_order_rule,,,38.641,3.156,1.703,,,captcha-121323-order-***-ae18bc-original.png,captcha-121323-order-***-ae18bc-original.png | cupo-121323-order-***-b8629f.png | screenshots\11-07-2026\captchas\captcha-121323-order-***-ae18bc-original.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-102200-ad537ebb,2026-07-11 10:22:20,order-***,partial,normal,LIMA-LA VICTORIA,31/07/2026,08:00,10,blocked_by_order_rule,,,20.872,3.094,1.734,,,captcha-102200-order-***-891072-original.png,captcha-102200-order-***-891072-original.png | cupo-102200-order-***-1ca1aa.png | screenshots\11-07-2026\captchas\captcha-102200-order-***-891072-original.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-095208-ac557281,2026-07-11 09:52:20,order-4533563928614-e42b7af400a8b1fa,completed,normal,,01/08/2026 10:00,,,,,,11.519,,,,,etapas-095208-order-4533563928614-e19856.png,etapas-095208-order-4533563928614-e19856.png,La etapa Separa Cita Peritaje ya esta en estado Programado. No hay una cita pendiente por reservar.
***-095143-***,2026-07-11 09:51:59,order-***,unavailable,normal,LIMA-LA VICTORIA,01/08/2026,10:00,20,slot_lost,,,16.610,8.718,1.719,2.203,0.047,portal-1-095143-order-***-6a5576.png,portal-1-095143-order-***-6a5576.png | preenvio-1-095143-order-***-98b88d.png | cupo-095143-order-***-2bea31.png | screenshots\11-07-2026\preenvio-1-095143-order-***-98b88d.png | screenshots\11-07-2026\portal-1-095143-order-***-6a5576.png | screenshots\11-07-2026\diagnostics\portal-html-1-095143-order-***-c54d6d.html | screenshots\11-07-2026\captchas\captcha-095143-order-***-1971ac-original.png,El cupo dejo de estar disponible antes de completar la reserva.
***-095107-***,2026-07-11 09:51:43,order-4533563928600-513a3ad12166355b,registered,normal,LIMA-LA VICTORIA,01/08/2026,10:00,20,confirmed,portal_success_text,,36.041,7.235,1.704,1.344,0.062,portal-1-095107-order-4533563928600-29f73d.png,portal-1-095107-order-4533563928600-29f73d.png | preenvio-1-095107-order-4533563928600-f61c9a.png | cupo-095107-order-4533563928600-43592b.png | screenshots\11-07-2026\preenvio-1-095107-order-4533563928600-f61c9a.png | screenshots\11-07-2026\portal-1-095107-order-4533563928600-29f73d.png | screenshots\11-07-2026\diagnostics\portal-html-1-095107-order-4533563928600-20bd8f.html | screenshots\11-07-2026\captchas\captcha-095107-order-4533563928600-fdda7a-original.png,La reserva fue confirmada por mensaje de exito del portal.
***-091807-a68dc6b8,2026-07-11 09:18:29,order-4533563928614-e42b7af400a8b1fa,partial,normal,LIMA-LA VICTORIA,31/07/2026,10:00,8,priority_deferred,,,22.454,3.390,1.704,,,captcha-091807-order-4533563928614-f69cfc-original.png,captcha-091807-order-4533563928614-f69cfc-original.png | cupo-091807-order-4533563928614-5e3811.png | screenshots\11-07-2026\captchas\captcha-091807-order-4533563928614-f69cfc-original.png,Reserva diferida porque hay una orden de mayor prioridad lista.
***-083607-21b0784b,2026-07-11 08:36:20,order-***,completed,normal,,27/07/2026 09:00,,,,,,12.079,,,,,etapas-083607-order-***-2d3463.png,etapas-083607-order-***-2d3463.png,La etapa Separa Cita Peritaje ya esta en estado Programado. No hay una cita pendiente por reservar.
***-083544-89169d87,2026-07-11 08:35:58,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,14.859,6.953,1.703,1.312,0.047,portal-1-083544-order-***-4da758.png,portal-1-083544-order-***-4da758.png | preenvio-1-083544-order-***-40352d.png | cupo-083544-order-***-9ddc90.png | screenshots\11-07-2026\preenvio-1-083544-order-***-40352d.png | screenshots\11-07-2026\portal-1-083544-order-***-4da758.png | screenshots\11-07-2026\diagnostics\portal-html-1-083544-order-***-da8b5e.html | screenshots\11-07-2026\captchas\captcha-083544-order-***-ca32b3-original.png,La reserva fue confirmada por mensaje de exito del portal.
***-083526-799e7e3f,2026-07-11 08:35:42,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,16.466,6.985,1.719,1.297,0.047,portal-1-083526-order-***-e3e27e.png,portal-1-083526-order-***-e3e27e.png | preenvio-1-083526-order-***-fe4caa.png | cupo-083526-order-***-b9fa48.png | screenshots\11-07-2026\preenvio-1-083526-order-***-fe4caa.png | screenshots\11-07-2026\portal-1-083526-order-***-e3e27e.png | screenshots\11-07-2026\diagnostics\portal-html-1-083526-order-***-080dfc.html | screenshots\11-07-2026\captchas\captcha-083526-order-***-7961db-original.png,La reserva fue confirmada por mensaje de exito del portal.
***-083508-b8e399f8,2026-07-11 08:35:26,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,17.714,7.297,1.797,1.313,0.047,portal-1-083508-order-***-ff8676.png,portal-1-083508-order-***-ff8676.png | preenvio-1-083508-order-***-6779ff.png | cupo-083508-order-***-461c25.png | screenshots\11-07-2026\preenvio-1-083508-order-***-6779ff.png | screenshots\11-07-2026\portal-1-083508-order-***-ff8676.png | screenshots\11-07-2026\diagnostics\portal-html-1-083508-order-***-e72b23.html | screenshots\11-07-2026\captchas\captcha-083508-order-***-52e5b1-original.png,La reserva fue confirmada por mensaje de exito del portal.
