run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,captcha_field_fill_seconds,pre_click_validation_seconds,submission_intent_seconds,selection_stabilization_mode,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-090418-6ed4ba95,2026-09-01 09:04:52,order-***,partial,normal,LIMA-LA VICTORIA,26/09/2026,09:00,10,blocked_by_order_rule,,,34.375,2.016,0.985,,,,,event_atomic,,screenshots\2026-09\01-09-2026\cupo-090418-order-***,screenshots\2026-09\01-09-2026\cupo-090418-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090418-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-090452-5d885974,2026-09-01 09:05:22,order-***,registered,slot_lost_reobservation,LIMA-LA VICTORIA,26/09/2026,10:00,10,confirmed,portal_success_text,,29.466,5.625,0.687,0.031,0.032,0.015,0.016,event_atomic,0.344,screenshots\2026-09\01-09-2026\portal-1-090452-order-***,screenshots\2026-09\01-09-2026\portal-1-090452-order-*** | screenshots\2026-09\01-09-2026\portal-1-090452-order-*** | screenshots\2026-09\01-09-2026\cupo-090452-order-*** | screenshots\2026-09\01-09-2026\cupo-090452-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090452-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090452-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-090451-ee360858,2026-09-01 09:05:22,order-***,registered,slot_lost_reobservation,LIMA-LA VICTORIA,26/09/2026,10:00,10,confirmed,portal_success_text,,30.600,5.000,0.734,0.031,0.031,0.000,0.016,event_atomic,0.375,screenshots\2026-09\01-09-2026\portal-1-090451-order-***,screenshots\2026-09\01-09-2026\portal-1-090451-order-*** | screenshots\2026-09\01-09-2026\portal-1-090451-order-*** | screenshots\2026-09\01-09-2026\cupo-090451-order-*** | screenshots\2026-09\01-09-2026\cupo-090451-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090451-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090451-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-090451-4e8e8f5d,2026-09-01 09:05:22,order-***,registered,slot_lost_reobservation,LIMA-LA VICTORIA,26/09/2026,10:00,10,confirmed,portal_success_text,,30.627,5.656,0.672,0.032,0.031,0.031,0.016,event_atomic,0.375,screenshots\2026-09\01-09-2026\portal-1-090451-order-***,screenshots\2026-09\01-09-2026\portal-1-090451-order-*** | screenshots\2026-09\01-09-2026\portal-1-090451-order-*** | screenshots\2026-09\01-09-2026\cupo-090451-order-*** | screenshots\2026-09\01-09-2026\cupo-090451-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090451-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090451-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-090607-a589ec6f,2026-09-01 09:06:14,order-***,partial,normal,LIMA-LA VICTORIA,26/09/2026,11:00,10,blocked_by_order_rule,,,7.581,2.031,1.000,,,,,event_atomic,,screenshots\2026-09\01-09-2026\cupo-090607-order-***,screenshots\2026-09\01-09-2026\cupo-090607-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090607-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-090622-35f95ae3,2026-09-01 09:07:26,order-***,registered,normal,LIMA-LA VICTORIA,28/09/2026,08:00,10,confirmed,portal_success_text,,63.303,5.125,0.656,0.031,0.031,0.015,0.015,event_atomic,0.328,screenshots\2026-09\01-09-2026\portal-1-090622-order-***,screenshots\2026-09\01-09-2026\portal-1-090622-order-*** | screenshots\2026-09\01-09-2026\cupo-090622-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090622-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090622-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-090704-db55b52c,2026-09-01 09:07:30,order-***,unavailable,normal,LIMA-LA VICTORIA,28/09/2026,08:00,10,slot_lost,,,26.211,7.500,1.047,0.062,0.031,0.015,0.047,event_atomic,0.282,screenshots\2026-09\01-09-2026\portal-1-090704-order-***,screenshots\2026-09\01-09-2026\portal-1-090704-order-*** | screenshots\2026-09\01-09-2026\cupo-090704-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090704-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090704-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-090704-752be603,2026-09-01 09:07:31,order-***,unavailable,normal,LIMA-LA VICTORIA,28/09/2026,08:00,10,slot_lost,,,27.187,8.406,1.188,0.047,0.031,0.016,0.078,event_atomic,0.266,screenshots\2026-09\01-09-2026\portal-1-090704-order-***,screenshots\2026-09\01-09-2026\portal-1-090704-order-*** | screenshots\2026-09\01-09-2026\cupo-090704-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-090704-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-090704-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-091620-08bc4d2d,2026-09-01 09:17:24,order-***,unavailable,normal,LIMA-LA VICTORIA,17/09/2026,11:00,30,slot_lost,,,63.832,5.890,0.656,0.031,0.015,0.015,0.078,event_atomic,0.156,screenshots\2026-09\01-09-2026\portal-1-091620-order-***,screenshots\2026-09\01-09-2026\portal-1-091620-order-*** | screenshots\2026-09\01-09-2026\cupo-091620-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-091620-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-091620-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-091824-97d5a48d,2026-09-01 09:18:57,order-***,unavailable,normal,LIMA-LA VICTORIA,17/09/2026,12:00,25,slot_lost,,,33.290,6.094,0.641,0.032,0.015,0.016,0.047,event_atomic,0.172,screenshots\2026-09\01-09-2026\portal-1-091824-order-***,screenshots\2026-09\01-09-2026\portal-1-091824-order-*** | screenshots\2026-09\01-09-2026\cupo-091824-order-*** | screenshots\2026-09\01-09-2026\captchas\captcha-091824-order-*** | screenshots\2026-09\01-09-2026\diagnostics\portal-html-1-091824-order-***,El cupo dejo de estar disponible antes de completar la reserva.
