run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-113359-a12ce739,2026-07-04 11:34:49,order-***,registered,normal,LIMA-LA VICTORIA,16/07/2026,08:00,,confirmed,portal_success_text,,49.626,8.031,1.703,1.453,0.047,06-reserva-respuesta-portal-intento-1-***-113359-a12ce739-order-***,06-reserva-respuesta-portal-intento-1-***-113359-a12ce739-order-*** | 05-reserva-antes-de-enviar-intento-1-***-113359-a12ce739-order-*** | 03-modal-reserva-citas-cupo-disponible-***-113359-a12ce739-order-*** | screenshots\04-07-2026\05-reserva-antes-de-enviar-intento-1-***-113359-a12ce739-order-*** | screenshots\04-07-2026\06-reserva-respuesta-portal-intento-1-***-113359-a12ce739-order-*** | screenshots\04-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-113359-a12ce739-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-113359-a12ce739-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-113449-b4008fc5,2026-07-04 11:35:04,order-***,registered,normal,LIMA-LA VICTORIA,20/07/2026,10:00,,confirmed,portal_success_text,,14.652,7.890,1.953,1.250,0.047,06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-***,06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-*** | 05-reserva-antes-de-enviar-intento-1-***-113449-b4008fc5-order-*** | 03-modal-reserva-citas-cupo-disponible-***-113449-b4008fc5-order-*** | screenshots\04-07-2026\05-reserva-antes-de-enviar-intento-1-***-113449-b4008fc5-order-*** | screenshots\04-07-2026\06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-*** | screenshots\04-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-113449-b4008fc5-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-113449-b4008fc5-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-130535-c8ad544f,2026-07-04 13:05:53,order-***,partial,normal,LIMA-LA VICTORIA,06/07/2026,09:00,,blocked_by_order_rule,,,18.082,3.828,1.656,,,,04-reserva-captcha-tecnico-2captcha-***-130535-c8ad544f-order-*** | 03-modal-reserva-citas-cupo-disponible-***-130535-c8ad544f-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130535-c8ad544f-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-130629-12cb507f,2026-07-04 13:06:45,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,11:00,,blocked_by_order_rule,,,16.071,3.797,1.641,,,,04-reserva-captcha-tecnico-2captcha-***-130629-12cb507f-order-*** | 03-modal-reserva-citas-cupo-disponible-***-130629-12cb507f-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130629-12cb507f-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-130721-521493a2,2026-07-04 13:07:35,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,11:00,,blocked_by_order_rule,,,13.421,3.156,1.656,,,,04-reserva-captcha-tecnico-2captcha-***-130721-521493a2-order-*** | 03-modal-reserva-citas-cupo-disponible-***-130721-521493a2-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130721-521493a2-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092125-c7504c44,2026-07-06 09:21:52,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,09:00,20,blocked_by_order_rule,,,26.602,4.360,1.703,,,,04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-*** | 03-modal-reserva-citas-cupo-disponible-***-092125-c7504c44-order-*** | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092154-3add598c,2026-07-06 09:22:24,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,10:00,20,blocked_by_order_rule,,,30.165,4.203,1.703,,,,04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-*** | 03-modal-reserva-citas-cupo-disponible-***-092154-3add598c-order-*** | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092529-8336d91c,2026-07-06 09:25:59,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,12:00,10,blocked_by_order_rule,,,29.929,4.109,1.719,,,,04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-*** | 03-modal-reserva-citas-cupo-disponible-***-092529-8336d91c-order-*** | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092602-fa408640,2026-07-06 09:26:32,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,30.110,4.156,1.750,,,,04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-*** | 03-modal-reserva-citas-cupo-disponible-***-092602-fa408640-order-*** | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092634-ca3e4deb,2026-07-06 09:26:44,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,9.797,3.594,1.781,,,,04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-*** | 03-modal-reserva-citas-cupo-disponible-***-092634-ca3e4deb-order-*** | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
