run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-083401-3a2702af,2026-07-11 08:34:31,order-***,unavailable,normal,LIMA-LA VICTORIA,30/07/2026,08:00,20,slot_lost,,,29.588,7.422,1.703,1.266,0.031,portal-1-083401-order-***,portal-1-083401-order-*** | preenvio-1-083401-order-*** | cupo-083401-order-*** | screenshots\11-07-2026\preenvio-1-083401-order-*** | screenshots\11-07-2026\portal-1-083401-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-083401-order-*** | screenshots\11-07-2026\captchas\captcha-083401-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-083508-b8e399f8,2026-07-11 08:35:26,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,17.714,7.297,1.797,1.313,0.047,portal-1-083508-order-***,portal-1-083508-order-*** | preenvio-1-083508-order-*** | cupo-083508-order-*** | screenshots\11-07-2026\preenvio-1-083508-order-*** | screenshots\11-07-2026\portal-1-083508-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-083508-order-*** | screenshots\11-07-2026\captchas\captcha-083508-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-083526-799e7e3f,2026-07-11 08:35:42,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,16.466,6.985,1.719,1.297,0.047,portal-1-083526-order-***,portal-1-083526-order-*** | preenvio-1-083526-order-*** | cupo-083526-order-*** | screenshots\11-07-2026\preenvio-1-083526-order-*** | screenshots\11-07-2026\portal-1-083526-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-083526-order-*** | screenshots\11-07-2026\captchas\captcha-083526-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-083544-89169d87,2026-07-11 08:35:58,order-***,registered,normal,LIMA-LA VICTORIA,25/07/2026,09:00,10,confirmed,portal_success_text,,14.859,6.953,1.703,1.312,0.047,portal-1-083544-order-***,portal-1-083544-order-*** | preenvio-1-083544-order-*** | cupo-083544-order-*** | screenshots\11-07-2026\preenvio-1-083544-order-*** | screenshots\11-07-2026\portal-1-083544-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-083544-order-*** | screenshots\11-07-2026\captchas\captcha-083544-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-083607-21b0784b,2026-07-11 08:36:20,order-***,completed,normal,,27/07/2026 09:00,,,,,,12.079,,,,,etapas-083607-order-***,etapas-083607-order-***,La etapa Separa Cita Peritaje ya esta en estado Programado. No hay una cita pendiente por reservar.
***-091807-a68dc6b8,2026-07-11 09:18:29,order-***,partial,normal,LIMA-LA VICTORIA,31/07/2026,10:00,8,priority_deferred,,,22.454,3.390,1.704,,,captcha-091807-order-***,captcha-091807-order-*** | cupo-091807-order-*** | screenshots\11-07-2026\captchas\captcha-091807-order-***,Reserva diferida porque hay una orden de mayor prioridad lista.
***-095107-***,2026-07-11 09:51:43,order-***,registered,normal,LIMA-LA VICTORIA,01/08/2026,10:00,20,confirmed,portal_success_text,,36.041,7.235,1.704,1.344,0.062,portal-1-095107-order-***,portal-1-095107-order-*** | preenvio-1-095107-order-*** | cupo-095107-order-*** | screenshots\11-07-2026\preenvio-1-095107-order-*** | screenshots\11-07-2026\portal-1-095107-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-095107-order-*** | screenshots\11-07-2026\captchas\captcha-095107-order-***,La reserva fue confirmada por mensaje de exito del portal.
***-095143-***,2026-07-11 09:51:59,order-***,unavailable,normal,LIMA-LA VICTORIA,01/08/2026,10:00,20,slot_lost,,,16.610,8.718,1.719,2.203,0.047,portal-1-095143-order-***,portal-1-095143-order-*** | preenvio-1-095143-order-*** | cupo-095143-order-*** | screenshots\11-07-2026\preenvio-1-095143-order-*** | screenshots\11-07-2026\portal-1-095143-order-*** | screenshots\11-07-2026\diagnostics\portal-html-1-095143-order-*** | screenshots\11-07-2026\captchas\captcha-095143-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-095208-ac557281,2026-07-11 09:52:20,order-***,completed,normal,,01/08/2026 10:00,,,,,,11.519,,,,,etapas-095208-order-***,etapas-095208-order-***,La etapa Separa Cita Peritaje ya esta en estado Programado. No hay una cita pendiente por reservar.
***-102200-ad537ebb,2026-07-11 10:22:20,order-***,partial,normal,LIMA-LA VICTORIA,31/07/2026,08:00,10,blocked_by_order_rule,,,20.872,3.094,1.734,,,captcha-102200-order-***,captcha-102200-order-*** | cupo-102200-order-*** | screenshots\11-07-2026\captchas\captcha-102200-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-121323-0a4c4a71,2026-07-11 12:14:02,order-***,partial,normal,LIMA-LA VICTORIA,31/07/2026,09:00,20,blocked_by_order_rule,,,38.641,3.156,1.703,,,captcha-121323-order-***,captcha-121323-order-*** | cupo-121323-order-*** | screenshots\11-07-2026\captchas\captcha-121323-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
