metric,current,previous
registered,28,15
programmed_completed,4,6
reservation_unconfirmed,0,0
slot_lost,29,15
blocked_by_order_rule,16,10
defense_signals,1,0
slot_lost_rate,0.475410,0.416667
total_from_available_seconds_n,75,41
total_from_available_seconds_p50,7.485,7.125
total_from_available_seconds_p90,18.5592,13.406
captcha_solver_seconds_n,57,30
captcha_solver_seconds_p50,1.406,1.3515000000000001
captcha_solver_seconds_p90,12.0464,3.9345000000000128
selection_seconds_n,75,41
selection_seconds_p50,1.703,1.704
selection_seconds_p90,1.797,1.891
account_switch_seconds_n,29,14
account_switch_seconds_p50,2.0,2.0
account_switch_seconds_p90,62.8,60.40000000000005
