metric,current,previous
registered,20,5
programmed_completed,1,0
reservation_unconfirmed,0,0
slot_lost,57,15
blocked_by_order_rule,121,4
defense_signals,2,0
slot_lost_rate,0.730769,0.714286
total_from_available_seconds_n,198,26
total_from_available_seconds_p50,3.0,7.991999999999999
total_from_available_seconds_p90,15.900200000000032,13.664
captcha_solver_seconds_n,77,21
captcha_solver_seconds_p50,1.641,1.563
captcha_solver_seconds_p90,7.256,7.062
selection_seconds_n,198,26
selection_seconds_p50,1.968,1.703
selection_seconds_p90,2.0313000000000003,2.039
account_switch_seconds_n,23,6
account_switch_seconds_p50,2.0,1.5
account_switch_seconds_p90,104.00000000000001,84.0
